SAMPLENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	simple_cell_type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID	Month_timepoint
ZG662mT.fastq	ZG66	2m	NA	NA	NA	T	T	NA	NA	NA	ZG66 2m    T   	1812842	2851711	63.570327	100	GTAGCC	2
zg66_36m_Gr_CD33p_GFPp_rep_20151214_pp_50trim_CD117_R7.fastq	ZG66	36m	NA	NA	NA	Grans CD33p GFPp	Gr	NA	rep	CD117	ZG66 36m    Grans CD33p GFPp  rep CD117	3378795	4000000	84.469875	100	GTAGCC	36
sampled_trimmed_zg66_48m_12_12_16_Sampling_12_13_sort_Mono_R2_CD142.fastq	ZG66	48m	NA	NA	NA	Mono	Mono	NA	NA	CD142	ZG66 48m    Mono   CD142	3216211	4000000	80.405275	100	GTAGCC	48
zg66_42m_PB_T_CD3p_20160602_0606sort_fixedsample_pp_50trim_CD135_R3.fastq	ZG66	42m	NA	NA	NA	T	T	NA	fiexed	CD135	ZG66 42m    T  CD3p fiexed CD135	2851622	4000000	71.29055	100	GTAGCC	42
pp_50trim_ZG66_08292016_PBMC_CD3pos_repeat_R6_CD141.fastq	ZG66	45m	NA	NA	NA	T	T	NA	NA	CD141	ZG66 45m    T   CD141	1873666	2781517	67.3613	100	GTAGCC	45
ZG666hmCD11cpCD16pBDCA1nMDC.fastq	ZG66	6hm	NA	NA	NA	CD11p CD16p BDCA1n MDC	CD11p CD16p BDCA1n MDC	NA	NA	NA	ZG66 6hm    CD11cp CD16p BDCA1n MDC   	1809198	4000000	45.22995	100	GTAGCC	6.5
ZG666hmNK56pFrozen.fastq	ZG66	6hm	NA	NA	NA	NK CD56sp	CD56+	NA	frozen	NA	ZG66 6hm    CD56+  frozen 	1636262	3413626	47.933253	100	GTAGCC	6.5
zg6612mGrRNA.fastq	ZG66	12m	NA	NA	NA	Grans	Gr	NA	RNA	NA	ZG66 12m    Grans  RNA 	2766606	4000000	69.16515	100	GTAGCC	12
ZG666hmCD33pGFPpnGr.fastq	ZG66	6hm	NA	NA	NA	Grans CD33p GFPp	Gr	NA	NA	NA	ZG66 6hm    Grans CD33p GFPn   	1857071	4000000	46.426775	100	GTAGCC	6.5
zg6614hmNK16p56n.fastq	ZG66	14hm	NA	NA	NA	NK CD16sp CD56n	CD16+	NA	NA	NA	ZG66 14hm    CD16+   CD56n	3150921	4000000	78.773025	100	GTAGCC	14.5
zg66_27m_CD56n_CD16p_CD85_R37_CGGAAT_L007_R1_001.fastq	ZG66	27m	NA	NA	NA	NK CD16sp	CD16+	NA	NA	CD85	ZG66 27m    CD16+   CD85	3525966	4000000	88.14915	100	GTAGCC	27
zg66_42m_PB_B_CD20_20160602_0606sort_fixedsample_pp_50trim_CD135_R6.fastq	ZG66	42m	NA	NA	NA	B	B	NA	fixed	CD135	ZG66 42m    B  fixed CD135	2626197	3308579	79.375375	100	GTAGCC	42
zg6622mMonoCD805.fastq	ZG66	22m	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 22m    Mono   	3145359	4000000	78.633975	100	GTAGCC	22
ZG666hmCD11cpCD16nBDCA1pMDC.fastq	ZG66	6hm	NA	NA	NA	CD11p CD16n BDCA1p MDC	CD11p CD16n BDCA1p MDC	NA	NA	NA	ZG66 6hm    CD11cp CD16n BDCA1p MDC   	1748525	4000000	43.713125	100	GTAGCC	6.5
ZG665mPBGr.fastq	ZG66	5m	NA	NA	NA	Grans	Gr	NA	PB	NA	ZG66 5m    Grans  PB 	2617563	4000000	65.439075	100	GTAGCC	5
pp_50trim_ZG66_47M_20161027_B_fIxed_R23_CD140.fastq	ZG66	47m	NA	NA	NA	B	B	NA	fixed	CD140	ZG66 47m    B  fixed CD140	3130483	4000000	78.262075	100	GTAGCC	47
zg6612mNKcd56p16n.fastq	ZG66	12m	NA	NA	NA	NK CD56sp CD16n	CD56+	NA	NA	NA	ZG66 12m    CD56+ CD16n   	2907710	4000000	72.69275	100	GTAGCC	12
zg6624mCD8apNKG2ApCD16pCD56n121514mixed.fastq	ZG66	24m	2014	12	15	NKG2Ap CD16p CD8Ap Cd56n	NKG2Ap CD16p CD8Ap Cd56n	NA	mixed	NA	ZG66 24m 2014 12 15 NK NKG2Ap CD16p CD8Ap Cd56n  mixed 	1035919	1406843	73.6343	100	GTAGCC	24
zg667mLBMgr2.fastq	ZG66	7m	NA	NA	NA	Grans	Gr	NA	LBM	NA	ZG66 7m    Grans  LBM rep	2899028	3540222	81.888311	100	GTAGCC	7
ZG667mLeftCD34p.fastq	ZG66	7m	NA	NA	NA	CD34p	CD34p	NA	LBM	NA	ZG66 7m    CD34p  LBM 	3182935	4000000	79.573375	100	GTAGCC	7
ZG664hmNK16n56p.fastq	ZG66	4hm	NA	NA	NA	NK CD56sp	CD56+	NA	NA	NA	ZG66 4hm    CD56+  	2769102	4000000	69.22755	100	GTAGCC	4.5
ZG664hmNK16p56n.fastq	ZG66	4hm	NA	NA	NA	NK CD16sp	CD16+	NA	NA	NA	ZG66 4hm    CD16+   	2954468	4000000	73.8617	100	GTAGCC	4.5
zg6614hmT2E6.fastq	ZG66	14hm	NA	NA	NA	T	T	NA	2 million cells	NA	ZG66 14hm    T  2 million cells 	3400508	4000000	85.0127	100	GTAGCC	14.5
sampled_trimmed_ZG66_2017Jan4_Grans_ficolled_R24_YD12.fastq	ZG66	49m	NA	NA	NA	Grans	Gr	NA	in vitro	YD12	ZG66 49m    Grans  in vitro YD12	3126919	4000000	78.172975	100	GTAGCC	49
pp_50trim_ZG66_08292016_CD20pos_repeat_R9_CD141.fastq	ZG66	45m	NA	NA	NA	B	B	NA	rep	CD141	ZG66 45m    B  rep CD141	2841240	4000000	71.031	100	GTAGCC	45
ZG666hmLeftNodeTfrozen.fastq	ZG66	6hm	NA	NA	NA	T	T	NA	left node frozen	NA	ZG66 6hm    T  left node frozen 	1862156	4000000	46.5539	100	GTAGCC	6.5
zg6612mNKdp.fastq	ZG66	12m	NA	NA	NA	NK DP	NK DP	NA	NA	NA	ZG66 12m    NK DP   	3026271	4000000	75.656775	100	GTAGCC	12
zg6622mBCD804.fastq	ZG66	22m	NA	NA	NA	B	B	NA	NA	NA	ZG66 22m    B   	3114354	4000000	77.85885	100	GTAGCC	22
sampled_trimmed_ZG66_2017Jan4_NKG2pCD56p_R26_YD12.fastq	ZG66	49m	NA	NA	NA	NK CD56sp NKG2p	CD56+	NA	in vitro	YD12	ZG66 49m    CD56+ NKG2p  in vitro YD12	664674	1090770	60.936219	100	GTAGCC	49
zg6612hmPBGrband22.fastq	ZG66	12hm	NA	NA	NA	Grans	Gr	NA	PB	NA	ZG66 12hm    Grans  PB 22	25323	57833	43.78642	100	GTAGCC	12.5
zg6617mplRNA.fastq	ZG66	17m	NA	NA	NA	PL	PL	NA	RNA	NA	ZG66 17m    PL  RNA 	3167510	4000000	79.18775	100	GTAGCC	17
zg66_36m_Gr_CD33p_GFPp_20151214_pp_50trim_CD117_R6.fastq	ZG66	36m	NA	NA	NA	Grans CD33p GFPp	Gr	NA	NA	CD117	ZG66 36m    Grans CD33p GFPp   CD117	3364124	4000000	84.1031	100	GTAGCC	36
zg66_45m_Gr_20160829_sampled_CD144_N7021_S33_L002_R1_001.fastq	ZG66	45m	NA	NA	NA	Grans	Gr	NA	NA	CD144	ZG66 45m    Grans   CD144	2609529	4000000	65.238225	100	GTAGCC	45
zg6617mNKcd56p.fastq	ZG66	17m	NA	NA	NA	NK CD56sp	CD56+	NA	NA	NA	ZG66 17m    CD56+   	3287872	4000000	82.1968	100	GTAGCC	17
zg66_NK_CD56p_NKP80p_NKG2Ap_20160829_PBMC_pp_50trim_R5.fastq	ZG66	45m	NA	NA	NA	NK CD56sp NKP80p NKG2Ap	CD56+	NA	NA	NA	ZG66 45m    CD56+ NKP80p NKG2Ap   	2495979	4000000	62.399475	100	GTAGCC	45
ZG664hmB.fastq	ZG66	4hm	NA	NA	NA	B	B	NA	NA	NA	ZG66 4hm    B   	2919098	4000000	72.97745	100	GTAGCC	4.5
zg66_20150615sample_PDC_CD102_R15_ATGTCA_L006_R1_001.fastq	ZG66	30m	2018	6	15	PDC	PDC	NA	NA	NA	ZG66 30m 2018 06 15 PDC   	731955	1196660	61.166497	100	GTAGCC	30
zg66_42m_NK_CD16p_CD56n_20160602frozenPBMNC_20160715sort_pp_50trim_YD2_R22.fastq	ZG66	42m	NA	NA	NA	NK CD16sp	CD16+	NA	frozen	YD2	ZG66 42m    CD16+ CD56n  frozen YD2	2829872	4000000	70.7468	100	GTAGCC	42
zg66_20150615sample_Mono_CD102_R13_AGTCAA_L006_R1_001.fastq	ZG66	30m	2017	6	15	Mono	Mono	NA	NA	NA	ZG66 30m 2017 06 15 Mono   	3061651	3881842	78.871087	100	GTAGCC	30
zg6624mCD8apNKG2ApCD16pCD56n121614mixed.fastq	ZG66	24m	2014	12	16	NK CD16p CD56n CD8 NKG2AP	NK CD16p CD56n CD8 NKG2AP	NA	mixed	NA	ZG66 24m 2014 12 16 NK CD16p CD56n CD8  NKG2AP  mixed 	901906	1221507	73.835516	100	GTAGCC	24
ZG663mMono.fastq	ZG66	3m	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 3m    Mono   	1550052	2797486	55.408749	100	GTAGCC	3
zg6612mTdna.fastq	ZG66	12m	NA	NA	NA	T	T	NA	rep	NA	ZG66 12m    T  rep 	3132659	4000000	78.316475	100	GTAGCC	12
zg66_42m_T_20160602frozenPBMNC_20160715sort_pp_50trim_YD2_R9.fastq	ZG66	42m	NA	NA	NA	T	T	NA	frozen	YD2	ZG66 42m    T  frozen YD2	2999480	4000000	74.987	100	GTAGCC	42
zg6624mCD8apNKG2ApCD16pCD56n121614lesscells.fastq	ZG66	24m	2014	12	16	NK CD16p CD56n CD8 NKG2AP	NK CD16p CD56n CD8 NKG2AP	NA	less cells	NA	ZG66 24m 2014 12 16 NK CD16p CD56n CD8 NKG2AP  less cells 	893346	1301857	68.620901	100	GTAGCC	24
ZG661mT.fastq	ZG66	1m	NA	NA	NA	T	T	NA	NA	NA	ZG66 1m    T   	2217429	3314308	66.904735	100	GTAGCC	1
zg6612hmLPadcd34p.fastq	ZG66	12hm	NA	NA	NA	CD34p	CD34p	NA	Lpad	NA	ZG66 12hm    CD34p  Lpad 	3108849	4000000	77.721225	100	GTAGCC	12.5
ZG663mT.fastq	ZG66	3m	NA	NA	NA	T	T	NA	NA	NA	ZG66 3m    T   	2158450	4000000	53.96125	100	GTAGCC	3
ZG667mRightCD34p.fastq	ZG66	7m	NA	NA	NA	CD34p	CD34p	NA	RBM	NA	ZG66 7m    CD34p  RBM 	3147165	4000000	78.679125	100	GTAGCC	7
zg66_27m_T_CD85_R34_CATGGC_L007_R1_001.fastq	ZG66	27m	NA	NA	NA	T	T	NA	NA	CD85	ZG66 27m    T   CD85	3242374	4000000	81.05935	100	GTAGCC	27
ZG665mRBMGr.fastq	ZG66	5m	NA	NA	NA	Grans	Gr	NA	RBM	NA	ZG66 5m    Grans  RBM 	2733732	4000000	68.3433	100	GTAGCC	5
ZG665mLBMcd34n.fastq	ZG66	5m	NA	NA	NA	CD34n	CD34n	NA	LBM	NA	ZG66 5m    CD34n  LBM 	2575107	4000000	64.377675	100	GTAGCC	5
zg6612mNKdn.fastq	ZG66	12m	NA	NA	NA	NK DN	NK DN	NA	NA	NA	ZG66 12m    NK DN   	3154372	4000000	78.8593	100	GTAGCC	12
zg66_36m_T_20151214_pp_50trim_CD117_R1.fastq	ZG66	36m	NA	NA	NA	T	T	NA	NA	CD117	ZG66 36m    T   CD117	3210782	4000000	80.26955	100	GTAGCC	36
sampled_trimmed_ZG66_48m_12_12_2016_PB_T_CELL_RNA_R22_FX18.fastq	ZG66	48m	NA	NA	NA	T	T	NA	RNA	FX18	ZG66 48m    T  RNA FX18	2883926	4000000	72.09815	100	GTAGCC	48
ZG663mnodeT.fastq	ZG66	3m	NA	NA	NA	T	T	NA	node	NA	ZG66 3m    T  node 	2229369	4000000	55.734225	100	GTAGCC	3
sampled_trimmed_ZG66_48m_12_12_2016_PB_B_CELL_RNA_R24_FX18.fastq	ZG66	48m	NA	NA	NA	B	B	NA	RNA	FX18	ZG66 48m    B  RNA FX18	2863798	4000000	71.59495	100	GTAGCC	48
zg66_42m_PB_NK_CD56nCD16p_20160602_0606sort_fixedsample_pp_50trim_CD135_R2.fastq	ZG66	42m	NA	NA	NA	NK CD16sp	CD16+	NA	fixed	CD135	ZG66 42m    CD16+  fixed CD135	2952995	3749378	78.759597	100	GTAGCC	42
zg66_42m_PB_NK_CD56pCD16n_20160602_0606sort_fixedsample_pp_50trim_CD135_R4.fastq	ZG66	42m	NA	NA	NA	NK CD56sp	CD56+	NA	fixed	CD135	ZG66 42m    CD56+ CD16n  fixed CD135	1137587	1748277	65.069037	100	GTAGCC	42
ZG663mnodeNK.fastq	ZG66	3m	NA	NA	NA	NK	NK	NA	node	NA	ZG66 3m    NK  node 	2157860	4000000	53.9465	100	GTAGCC	3
zg6612mB.fastq	ZG66	12m	NA	NA	NA	B	B	NA	NA	NA	ZG66 12m    B   	3344243	4000000	83.606075	100	GTAGCC	12
ZG661mMono.fastq	ZG66	1m	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 1m    Mono   	2643272	4000000	66.0818	100	GTAGCC	1
ZG661mGr.fastq	ZG66	1m	NA	NA	NA	Grans	Gr	NA	NA	NA	ZG66 1m    Grans   	2639002	4000000	65.97505	100	GTAGCC	1
zg6617mBRNA.fastq	ZG66	17m	NA	NA	NA	B	B	NA	RNA	NA	ZG66 17m    B  RNA 	3335864	4000000	83.3966	100	GTAGCC	17
sampled_trimmed_ZG66_2017Jan4_B_cells_R22_YD12.fastq	ZG66	49m	NA	NA	NA	B	B	NA	RNA	YD12	ZG66 49m    B  RNA YD12	3060098	4000000	76.50245	100	GTAGCC	49
pp_50trim_ZG66_45m_08292016_PBMC_CD16p_NKP80p_NKG2Ap_KIRneg_rep_CD138_R2.fastq	ZG66	45m	NA	NA	NA	NK CD16sp NKP80p NKG2Ap KIRneg	CD16+ NKP80p NKG2Ap KIRneg	NA	rep	CD138	ZG66 45m    CD16+ NKP80p NKG2Ap KIRneg  rep CD138	2398951	4000000	59.973775	100	GTAGCC	45
zg6624mTJoy.fastq	ZG66	24m	NA	NA	NA	T	T	NA	NA	NA	ZG66 24m    T   	1439933	1928685	74.658796	100	GTAGCC	24
sampled_trimmed_ZG66_2017Jan4_NKG2pCD16p_R28_YD12.fastq	ZG66	49m	NA	NA	NA	NK CD16sp NKG2p	CD16+	NA	in vitro	YD12	ZG66 49m    CD16+ NKG2p  in vitro YD12	3318450	4000000	82.96125	100	GTAGCC	49
zg66_49m_Gr_20170104_sampled_YD20_N716_S51_L003_R1_001.fastq	ZG66	49m	NA	NA	NA	Grans	Gr	NA	NA	YD20	ZG66 49m    Grans   YD20	2358238	4000000	58.95595	100	GTAGCC	49
zg667mPBgr2.fastq	ZG66	7m	NA	NA	NA	Grans	Gr	NA	PB rep	NA	ZG66 7m    Grans  PB rep 	2014473	2463941	81.758167	100	GTAGCC	7
zg66_42m_B_20160602frozenPBMNC_20160715sort_pp_50trim_YD2_R12.fastq	ZG66	42m	NA	NA	NA	B	B	NA	frozen	YD2	ZG66 42m    B  frozen YD2	3071145	4000000	76.778625	100	GTAGCC	42
zg66_NK_CD16p_NKP80p_NKG2Ap_KIRdim_20160829_PBMC_pp_50trim_R9.fastq	ZG66	45m	NA	NA	NA	NK CD16sp NKP80p NKG2Ap KIRdim	CD16+ NKP80p NKG2Ap KIRdim	NA	NA	NA	ZG66 45m    CD16+ NKP80p NKG2Ap KIRdim   	2378864	4000000	59.4716	100	GTAGCC	45
sampled_trimmed_ZG66_47m_SYK_dim_R26_S3.fastq	ZG66	47m	NA	NA	NA	NK CD16sp SYKdim	CD16+ SYKdim	NA	NA	S3	ZG66 47m    CD16+ SYKdim   S3	1550871	4000000	38.771775	100	GTAGCC	47
ZG666hmMono.fastq	ZG66	6hm	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 6hm    Mono   	1824369	4000000	45.609225	100	GTAGCC	6.5
sampled_trimmed_ZG66_2017Jan4_T_cells_R21_YD12.fastq	ZG66	49m	NA	NA	NA	T	T	NA	in vitro	YD12	ZG66 49m    T  in vitro YD12	2948693	4000000	73.717325	100	GTAGCC	49
zg6624mGFPpCD33p.fastq	ZG66	24hm	NA	NA	NA	Grans CD33p GFPp	Gr	NA	NA	NA	ZG66 24hm    Grans CD33p GFPp   	1045441	1398420	74.758728	100	GTAGCC	24.5
zg6617mNKdn.fastq	ZG66	17m	NA	NA	NA	NK DN	DN	NA	NA	NA	ZG66 17m    NK DN   	3368671	4000000	84.216775	100	GTAGCC	17
